,Company Name,Country,Launcher,Shuttle,Rocket,Status Rocket,Year,Month,Status Mission
0,SpaceX,USA,Falcon 9 Block 5, Starlink V1 L9 & BlackSky,50.0,StatusActive,2020,8,Success
1,CASC,China,Long March 2D, Gaofen-9 04 & Q-SAT,29.75,StatusActive,2020,8,Success
2,SpaceX,USA,Starship Prototype, 150 Meter Hop,,StatusActive,2020,8,Success
3,Roscosmos,Kazakhstan,Proton-M/Briz-M, Ekspress-80 & Ekspress-103,65.0,StatusActive,2020,7,Success
4,ULA,USA,Atlas V 541, Perseverance,145.0,StatusActive,2020,7,Success
5,CASC,China,Long March 4B," Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",64.68,StatusActive,2020,7,Success
6,Roscosmos,Kazakhstan,Soyuz 2.1a, Progress MS-15,48.5,StatusActive,2020,7,Success
7,CASC,China,Long March 5, Tianwen-1,,StatusActive,2020,7,Success
8,SpaceX,USA,Falcon 9 Block 5, ANASIS-II,50.0,StatusActive,2020,7,Success
9,JAXA,Japan,H-IIA 202, Hope Mars Mission,90.0,StatusActive,2020,7,Success
10,Northrop,USA,Minotaur IV, NROL-129,46.0,StatusActive,2020,7,Success
11,ExPace,China,Kuaizhou 11," Jilin-1 02E, CentiSpace-1 S2",28.3,StatusActive,2020,7,Failure
12,CASC,China,Long March 3B/E, Apstar-6D,29.15,StatusActive,2020,7,Success
13,IAI,Israel,Shavit-2, Ofek-16,,StatusActive,2020,7,Success
14,CASC,China,Long March 2D, Shiyan-6 02,29.75,StatusActive,2020,7,Success
15,Rocket Lab,New Zealand,Electron/Curie, Pics Or It Didn??¦t Happen,7.5,StatusActive,2020,7,Failure
16,CASC,China,Long March 4B, Gaofen Duomo & BY-02,64.68,StatusActive,2020,7,Success
17,SpaceX,USA,Falcon 9 Block 5, GPS III SV03,50.0,StatusActive,2020,6,Success
18,CASC,China,Long March 3B/E, Beidou-3 G3,29.15,StatusActive,2020,6,Success
19,CASC,China,Long March 2D," Gaofen-9 03, Pixing III A & HEAD-5",29.75,StatusActive,2020,6,Success
20,SpaceX,USA,Falcon 9 Block 5, Starlink V1 L8 & SkySat 16 to 18,50.0,StatusActive,2020,6,Success
